nev = 29, nb = 0, ne = 28
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 20951049
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29315089
============================= end ===========================
********** amg parameters **********
strong_connection_threshold          = 0.25
strong_diagonally_dominant_threshold = 0.1
truncation_threshold                 = 0.2
positive_connected                   = 0
interpolation_type                   = 1
max_level                            = 100
max_coarsest_dof                     = 1000
setup_phase_print_level              = 0

linear_solver_base_type = 2

cg_max_iter = 1000
cg_tol      = 1e-14

gs_max_iter = 1000
gs_tol      = 1e-14

amgcycle_tol                 = 1e-16
amgcycle_coarsest_tol        = 1e-18
amgcycle_mu                  = 1
amgcycle_pre_post_smooth     = 1
amgcycle_coarsest_level      = 0
amgcycle_max_coarsest_smooth = 1000
amgcycle_print_level         = 0

amgsolver_tol                     = 1e-12
amgsolver_max_cycle               = 100
amgsolver_max_convergence_factor  = 0.99
amgsolver_nmax_convergence_factor = 1
amgsolver_print_level             = 0

pcg_amg_tol         = 1e-14
pcg_amg_max_iter    = 100
pcg_amg_print_level = 0

amgeigen_coarsest_level = 0
amgeigen_nouter_iter    = 1
amgeigen_print_level    = 1
************************************

init time: 38.894928
========================= multigrid =========================
level =  0, nrow = 4198401, nnz = 20951049, sparse =  4.990245
level =  1, nrow = 2095105, nnz = 18839569, sparse =  8.992184
level =  2, nrow =  525310, nnz = 4733900, sparse =  9.011631
level =  3, nrow =  131585, nnz = 1181217, sparse =  8.976836
level =  4, nrow =   33024, nnz =  295944, sparse =  8.961483
level =  5, nrow =    8564, nnz =   78388, sparse =  9.153199
level =  6, nrow =    2137, nnz =   20213, sparse =  9.458587
grid complexity = 1.665902, operator complexity = 2.200381
=============================================================
setup phase time: 26.025194
=============== 0 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  1    15       1        0.000050328392462     1.785318
  1    16       1        0.000050441687511     1.842610
  1    17       1        0.000043553876142     2.050017
  1    18       1        0.000044568826823     1.786041
  1    19       1        0.000055069842506     1.614997
  1    20       1        0.000039651598152     1.833553
  1    21       1        0.000040340840964     2.248934
  1    22       1        0.000043100080072     2.129548
  1    23       1        0.000041096538307     1.827118
  1    24       1        0.000037261745109     1.815059
  1    25       1        0.000045516510978     1.773035
  1    26       1        0.000036331315227     1.714532
  1    27       1        0.000037056942450     1.574167
  1    28       1        0.000045410644933     2.084413
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000371619361159     3.331237
  0     1       1        0.000223789927254     3.379369
  0     2       1        0.000204394356994     3.562052
  0     3       1        0.000177696980622     3.381411
  0     4       1        0.000119451037739     3.243134
  0     5       1        0.000148007662340     3.568756
  0     6       1        0.000112193764012     3.513776
  0     7       1        0.000104516388723     3.691451
  0     8       1        0.000098113563586     3.268609
  0     9       1        0.000099493111476     3.366316
  0    10       1        0.000117323485340     2.955563
  0    11       1        0.000104543953021     3.054612
  0    12       1        0.000106798342684     2.701111
  0    13       1        0.000076299508977     3.649865
  0    14       1        0.000072310029867     3.794478
  0    15       1        0.000074048403364     3.912653
  0    16       1        0.000084040623431     3.757764
  0    17       1        0.000070531413343     3.527032
  0    18       1        0.000069604815124     3.451700
  0    19       1        0.000088373568941     3.705359
  0    20       1        0.000062473594143     3.550582
  0    21       1        0.000066826925177     3.534204
  0    22       1        0.000064578896811     4.066946
  0    23       1        0.000067818670345     3.752605
  0    24       1        0.000058469178895     3.622211
  0    25       1        0.000075402239303     3.583098
  0    26       1        0.000058701512157     3.374310
  0    27       1        0.000056165354277     3.213588
  0    28       1        0.000075565107625     3.597884
.......................................................
direct eigen     time = 44.293966
amg linear solve time = 171.328400
expand matrix    time = 87.928984
get new evec     time = 33.143763
correction total time = 340.754003
* 0 * approximate eigenvalue: 
 0:    0.019726715380850
 1:    0.049319948993208
 2:    0.049320091124798
 3:    0.078932399913460
 4:    0.098638200812678
 5:    0.098638257432222
 6:    0.128269505390935
 7:    0.128270483861347
 8:    0.167683093942932
 9:    0.167683248333815
10:    0.177618879897552
11:    0.197339445357781
12:    0.197339498403122
13:    0.246697587262540
14:    0.246701319750884
15:    0.256455474640493
16:    0.256455616882237
17:    0.286142511771329
18:    0.286142914499138
19:    0.315788906283718
20:    0.335515174754541
21:    0.335515226740161
22:    0.364955813532894
23:    0.364956071272012
24:    0.394680887752164
25:    0.394680984352857
26:    0.404608453315905
27:    0.404618665415188
28:    0.444067476417501
correction  0 time :  340.754055023193359
correction  0 error:    0.000005369782103
***************************************************
***************************************************
begin to correct eigenpair on the finest level...
=============== 1 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000096069001644     3.696798
  0     1       1        0.000057480371912     3.631147
  0     2       1        0.000053349025859     3.487218
  0     3       1        0.000046337233774     3.514325
  0     4       1        0.000031134569110     3.531596
  0     5       1        0.000038375000420     3.426354
  0     6       1        0.000029019279497     3.573230
  0     7       1        0.000027513733164     3.452444
  0     8       1        0.000025595119368     3.266023
  0     9       1        0.000024893574553     3.534898
  0    10       1        0.000030643076488     3.496410
  0    11       1        0.000027650428295     3.604547
  0    12       1        0.000026366990858     3.557508
  0    13       1        0.000019771622373     3.726831
  0    14       1        0.000018988059581     3.538299
  0    15       1        0.000019332262550     3.689460
  0    16       1        0.000020751174120     3.299481
  0    17       1        0.000018406784157     3.835188
  0    18       1        0.000017886518004     3.227278
  0    19       1        0.000023040617540     3.183726
  0    20       1        0.000016188050698     3.498836
  0    21       1        0.000016800600873     4.090673
  0    22       1        0.000016828411659     3.883753
  0    23       1        0.000016569490985     3.881188
  0    24       1        0.000015144341405     3.694568
  0    25       1        0.000019078191737     3.551407
  0    26       1        0.000015145643684     3.439739
  0    27       1        0.000014674800370     3.677711
  0    28       1        0.000020094567889     3.499866
.......................................................
direct eigen     time = 7.935483
amg linear solve time = 103.492178
expand matrix    time = 47.582947
get new evec     time = 19.618751
correction total time = 179.591165
 0:    0.019726704900552
 1:    0.049319921849271
 2:    0.049320063798145
 3:    0.078932355255874
 4:    0.098638143579648
 5:    0.098638199985610
 6:    0.128269428889487
 7:    0.128270406857631
 8:    0.167682989763272
 9:    0.167683143861925
10:    0.177618769138029
11:    0.197339319363123
12:    0.197339372350554
13:    0.246697423312016
14:    0.246701154678922
15:    0.256455301603860
16:    0.256455443779365
17:    0.286142314196158
18:    0.286142716904227
19:    0.315788684385944
20:    0.335514933989981
21:    0.335514986369778
22:    0.364955544036709
23:    0.364955802139593
24:    0.394680590560991
25:    0.394680687540234
26:    0.404608146963611
27:    0.404618357844024
28:    0.444067129044636
correction  1 time :  179.591290950775146
correction  1 error:    0.000000553237012
=============== 2 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000027681701959     3.605843
  0     1       1        0.000016449435682     3.612072
  0     2       1        0.000015485848937     3.119672
  0     3       1        0.000013385765899     3.906168
  0     4       1        0.000008941259152     3.562779
  0     5       1        0.000011051526355     3.423061
  0     6       1        0.000008332858617     3.559398
  0     7       1        0.000007992430108     3.785783
  0     8       1        0.000007340153213     3.746420
  0     9       1        0.000007153848731     3.534071
  0    10       1        0.000008848740133     3.039567
  0    11       1        0.000007954277454     3.705913
  0    12       1        0.000007614121031     3.890149
  0    13       1        0.000005675586772     3.440889
  0    14       1        0.000005498987116     3.849107
  0    15       1        0.000005542163464     4.185845
  0    16       1        0.000005939765293     3.821155
  0    17       1        0.000005281164287     3.832352
  0    18       1        0.000005158202453     3.689002
  0    19       1        0.000006636710992     3.341725
  0    20       1        0.000004657189737     3.564192
  0    21       1        0.000004834284403     3.914314
  0    22       1        0.000004811454682     3.468054
  0    23       1        0.000004729433473     3.507367
  0    24       1        0.000004344554083     3.319145
  0    25       1        0.000005464237669     3.500024
  0    26       1        0.000004343229670     3.450498
  0    27       1        0.000004233833520     3.579474
  0    28       1        0.000005863985742     3.410528
.......................................................
direct eigen     time = 7.626252
amg linear solve time = 104.366199
expand matrix    time = 47.183037
get new evec     time = 20.083219
correction total time = 180.110327
 0:    0.019726703902042
 1:    0.049319919310239
 2:    0.049320061246484
 3:    0.078932351146931
 4:    0.098638138380771
 5:    0.098638194764910
 6:    0.128269422030649
 7:    0.128270399979205
 8:    0.167682980640011
 9:    0.167683134704204
10:    0.177618759457549
11:    0.197339308484085
12:    0.197339361424512
13:    0.246697409391622
14:    0.246701140741807
15:    0.256455287082133
16:    0.256455429218292
17:    0.286142297785352
18:    0.286142700434115
19:    0.315788666067030
20:    0.335514914299272
21:    0.335514966650710
22:    0.364955522417774
23:    0.364955780491571
24:    0.394680566875686
25:    0.394680663778279
26:    0.404608122255293
27:    0.404618333240215
28:    0.444067102008383
correction  2 time :  180.110368967056274
correction  2 error:    0.000000154502967
=============== 3 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000008307083796     3.976677
  0     1       1        0.000004917399997     3.161657
  0     2       1        0.000004657626390     3.216459
  0     3       1        0.000004009977114     3.915249
  0     4       1        0.000002676838831     3.592723
  0     5       1        0.000003313989449     3.350278
  0     6       1        0.000002488555032     3.113178
  0     7       1        0.000002398497622     3.098441
  0     8       1        0.000002192974938     2.843716
  0     9       1        0.000002142300308     2.679310
  0    10       1        0.000002646603178     2.557892
  0    11       1        0.000002374973330     2.571861
  0    12       1        0.000002279199109     2.552469
  0    13       1        0.000001692392606     2.424622
  0    14       1        0.000001645540199     2.426706
  0    15       1        0.000001654588368     2.491894
  0    16       1        0.000001775719206     2.476563
  0    17       1        0.000001574087295     2.567456
  0    18       1        0.000001541920965     2.850681
  0    19       1        0.000001979775627     2.773377
  0    20       1        0.000001387250888     2.549579
  0    21       1        0.000001443903604     2.588472
  0    22       1        0.000001433246825     2.551115
  0    23       1        0.000001411181271     2.450848
  0    24       1        0.000001291288515     2.328822
  0    25       1        0.000001634526928     2.895889
  0    26       1        0.000001291870386     2.559233
  0    27       1        0.000001262845237     2.469154
  0    28       1        0.000001748771264     2.535310
.......................................................
direct eigen     time = 5.702180
amg linear solve time = 81.571172
expand matrix    time = 34.621912
get new evec     time = 15.101591
correction total time = 137.922276
 0:    0.019726703804672
 1:    0.049319919064352
 2:    0.049320060999223
 3:    0.078932350750666
 4:    0.098638137882745
 5:    0.098638194264402
 6:    0.128269421376454
 7:    0.128270399322313
 8:    0.167682979779291
 9:    0.167683133839006
10:    0.177618758541328
11:    0.197339307460665
12:    0.197339360394889
13:    0.246697408092590
14:    0.246701139439135
15:    0.256455285736569
16:    0.256455427867893
17:    0.286142296269213
18:    0.286142698910162
19:    0.315788664377563
20:    0.335514912493997
21:    0.335514964840083
22:    0.364955520454630
23:    0.364955778525594
24:    0.394680564731593
25:    0.394680661629659
26:    0.404608120034945
27:    0.404618331017206
28:    0.444067099616805
correction  3 time :  137.922307968139648
correction  3 error:    0.000000117811486
=============== 4 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000002520311862     2.536942
  0     1       1        0.000001488981083     2.514801
  0     2       1        0.000001412089171     2.459788
  0     3       1        0.000001211731677     2.526754
  0     4       1        0.000000812504618     2.526057
  0     5       1        0.000001000970816     2.454782
  0     6       1        0.000000751112780     2.452565
  0     7       1        0.000000724557998     2.557281
  0     8       1        0.000000663839314     2.713772
  0     9       1        0.000000647793682     2.702302
  0    10       1        0.000000798176321     2.228316
  0    11       1        0.000000717933365     2.760226
  0    12       1        0.000000686116906     2.684003
  0    13       1        0.000000509982103     2.609250
  0    14       1        0.000000495780041     2.444676
  0    15       1        0.000000501098584     2.150920
  0    16       1        0.000000535849699     2.538024
  0    17       1        0.000000474407217     2.730328
  0    18       1        0.000000464626473     2.722124
  0    19       1        0.000000595767174     2.585359
  0    20       1        0.000000418370286     2.438600
  0    21       1        0.000000433632345     2.507221
  0    22       1        0.000000433133436     2.542180
  0    23       1        0.000000425778415     2.418897
  0    24       1        0.000000389210323     2.467601
  0    25       1        0.000000491513248     2.624108
  0    26       1        0.000000388668748     2.576817
  0    27       1        0.000000379425203     2.713189
  0    28       1        0.000000521811320     2.282690
.......................................................
direct eigen     time = 6.338322
amg linear solve time = 73.470760
expand matrix    time = 34.251473
get new evec     time = 13.985954
correction total time = 128.711407
 0:    0.019726703794546
 1:    0.049319919038898
 2:    0.049320060973605
 3:    0.078932350709749
 4:    0.098638137831438
 5:    0.098638194212894
 6:    0.128269421309355
 7:    0.128270399254961
 8:    0.167682979691419
 9:    0.167683133750744
10:    0.177618758447941
11:    0.197339307356606
12:    0.197339360290310
13:    0.246697407961495
14:    0.246701139307666
15:    0.256455285600728
16:    0.256455427731681
17:    0.286142296116843
18:    0.286142698757154
19:    0.315788664208692
20:    0.335514912313895
21:    0.335514964659742
22:    0.364955520259092
23:    0.364955778330031
24:    0.394680564519120
25:    0.394680661417132
26:    0.404608119815864
27:    0.404618330797843
28:    0.444067099377183
correction  4 time :  128.711448907852173
correction  4 error:    0.000000114130466
=============== 5 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000000764967167     2.668017
  0     1       1        0.000000451202559     2.740502
  0     2       1        0.000000427788507     2.785953
  0     3       1        0.000000365793689     2.625484
  0     4       1        0.000000247074237     2.497834
  0     5       1        0.000000301791635     2.487733
  0     6       1        0.000000226653046     2.492572
  0     7       1        0.000000218488938     2.450161
  0     8       1        0.000000201202822     2.468805
  0     9       1        0.000000195813648     2.470248
  0    10       1        0.000000240438790     2.434127
  0    11       1        0.000000217247119     2.502710
  0    12       1        0.000000205980062     2.546095
  0    13       1        0.000000153687590     2.578058
  0    14       1        0.000000149082897     2.203966
  0    15       1        0.000000152078569     2.694745
  0    16       1        0.000000161598857     2.526159
  0    17       1        0.000000143012461     2.557705
  0    18       1        0.000000139828047     2.660973
  0    19       1        0.000000179135618     2.629898
  0    20       1        0.000000126327109     2.503070
  0    21       1        0.000000129867395     2.483894
  0    22       1        0.000000131163945     2.545088
  0    23       1        0.000000128510815     2.617241
  0    24       1        0.000000117478343     2.611187
  0    25       1        0.000000147472400     2.472400
  0    26       1        0.000000116951949     2.247059
  0    27       1        0.000000113818376     2.415237
  0    28       1        0.000000154883211     2.896819
.......................................................
direct eigen     time = 6.135425
amg linear solve time = 73.814983
expand matrix    time = 34.901965
get new evec     time = 14.078804
correction total time = 129.537194
 0:    0.019726703793441
 1:    0.049319919036096
 2:    0.049320060970829
 3:    0.078932350705295
 4:    0.098638137825810
 5:    0.098638194207337
 6:    0.128269421302026
 7:    0.128270399247665
 8:    0.167682979681801
 9:    0.167683133741266
10:    0.177618758437841
11:    0.197339307345296
12:    0.197339360279056
13:    0.246697407947348
14:    0.246701139293535
15:    0.256455285586053
16:    0.256455427717243
17:    0.286142296100412
18:    0.286142698740891
19:    0.315788664190685
20:    0.335514912294646
21:    0.335514964640569
22:    0.364955520238317
23:    0.364955778309520
24:    0.394680564496539
25:    0.394680661394804
26:    0.404608119792628
27:    0.404618330774650
28:    0.444067099343993
correction  5 time :  129.537240028381348
correction  5 error:    0.000000113729434
=============== 6 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000000232562742     2.288363
  0     1       1        0.000000136872849     2.600445
  0     2       1        0.000000129765064     2.609208
  0     3       1        0.000000110454875     2.503020
  0     4       1        0.000000075312382     2.494359
  0     5       1        0.000000090957660     2.538680
  0     6       1        0.000000068407855     2.473255
  0     7       1        0.000000065898162     2.472572
  0     8       1        0.000000061087263     2.495904
  0     9       1        0.000000059236826     2.542074
  0    10       1        0.000000072429632     2.687085
  0    11       1        0.000000065833251     2.693494
  0    12       1        0.000000061766839     2.570664
  0    13       1        0.000000046333853     2.518059
  0    14       1        0.000000044817137     2.623448
  0    15       1        0.000000046263799     2.807682
  0    16       1        0.000000048747427     2.661853
  0    17       1        0.000000043137670     2.018478
  0    18       1        0.000000042082129     2.103414
  0    19       1        0.000000053866084     2.675118
  0    20       1        0.000000038198647     3.170663
  0    21       1        0.000000038841074     2.936329
  0    22       1        0.000000039807163     2.753217
  0    23       1        0.000000038822227     2.604286
  0    24       1        0.000000035506205     2.469361
  0    25       1        0.000000044219264     2.467544
  0    26       1        0.000000035224992     2.432716
  0    27       1        0.000000034122339     2.398688
  0    28       1        0.000000047784868     2.440967
.......................................................
direct eigen     time = 6.052332
amg linear solve time = 74.052189
expand matrix    time = 33.195240
get new evec     time = 14.246872
correction total time = 128.237620
 0:    0.019726703793301
 1:    0.049319919035740
 2:    0.049320060970491
 3:    0.078932350704745
 4:    0.098638137825123
 5:    0.098638194206660
 6:    0.128269421301151
 7:    0.128270399246811
 8:    0.167682979680686
 9:    0.167683133740129
10:    0.177618758436646
11:    0.197339307343963
12:    0.197339360277752
13:    0.246697407945703
14:    0.246701139291927
15:    0.256455285584380
16:    0.256455427715521
17:    0.286142296098546
18:    0.286142698738988
19:    0.315788664188587
20:    0.335514912292488
21:    0.335514964638411
22:    0.364955520235963
23:    0.364955778307034
24:    0.394680564494029
25:    0.394680661392144
